日期,平均溫度(°C),最高溫度(°C),最低溫度(°C),平均相對溼度(%),最小相對溼度(%),降雨量(mm)
2015-04-27,25.6,29.6,23.2,75,61.0,0.0
2015-04-28,25.2,30.2,23.0,79,59.0,0.0
2015-04-29,25.7,30.7,23.2,79,57.0,0.0
2015-04-30,25.6,31.6,22.4,72,50.0,0.0
2015-05-01,24.6,28.0,21.3,75,62.0,0.0
2015-05-02,26.7,32.9,23.2,74,54.0,0.0
2015-05-03,27.7,32.3,23.7,74,52.0,1.5
2015-05-04,21.0,23.9,19.2,85,74.0,29.5
2015-05-05,19.2,20.8,17.8,94,89.0,33.0
2015-05-06,23.1,25.3,20.1,89,80.0,0.0
2015-05-07,24.6,29.7,22.2,84,63.0,0.0
2015-05-08,25.6,28.6,22.7,80,68.0,0.0
2015-05-09,26.3,32.5,22.5,80,55.0,0.0
2015-05-10,25.7,30.5,22.2,81,63.0,0.0
2015-05-11,26.5,30.1,24.7,84,70.0,0.0
2015-05-12,22.2,-99.7,19.7,75,43.0,26.0
2015-05-13,26.5,32.3,21.3,65,51.0,0.0
2015-05-14,27.6,31.7,24.0,77,60.0,0.0
2015-05-15,28.2,32.1,24.1,77,62.0,0.0
2015-05-16,29.2,33.9,25.5,68,51.0,0.0
2015-05-17,28.1,32.2,25.8,73,56.0,0.0
2015-05-18,29.2,33.5,24.9,63,47.0,0.0
2015-05-19,29.6,33.9,26.8,62,44.0,0.0
2015-05-20,24.3,-99.7,21.8,92,72.0,61.0
2015-05-21,21.6,22.6,20.8,81,72.0,0.5
2015-05-22,24.1,27.9,21.1,90,72.0,20.0
2015-05-23,24.1,-99.7,23.5,96,91.0,40.0
2015-05-24,23.7,33.2,22.2,97,93.0,33.0
2015-05-25,23.2,24.8,22.1,92,83.0,7.5
2015-05-26,23.1,24.5,22.3,89,80.0,24.0
2015-05-27,26.5,30.7,22.6,84,64.0,0.0
2015-05-28,29.5,34.9,25.0,71,47.0,0.0
2015-05-29,30.7,34.9,27.5,70,58.0,0.0
2015-05-30,30.4,34.9,27.7,73,54.0,0.0
2015-05-31,27.4,30.6,25.6,85,73.0,4.0
2015-06-01,27.6,30.5,25.3,83,72.0,0.5
2015-06-02,29.5,31.9,28.3,73,61.0,0.0
2015-06-03,30.2,35.2,26.9,67,48.0,0.0
2015-06-04,28.2,32.0,26.7,80,62.0,0.0
2015-06-05,29.8,35.0,26.8,71,46.0,0.0
2015-06-06,27.8,31.5,25.3,81,63.0,0.0
2015-06-07,28.3,32.8,25.5,79,63.0,1.0
2015-06-08,29.4,34.3,25.4,70,43.0,0.0
2015-06-09,30.2,34.9,26.1,67,45.0,0.0
2015-06-10,30.7,35.5,26.8,67,50.0,0.0
2015-06-11,31.2,35.7,27.1,66,45.0,0.0
2015-06-12,30.9,34.2,27.9,68,54.0,0.0
2015-06-13,30.3,34.4,27.2,69,54.0,0.0
2015-06-14,29.5,34.4,26.9,73,53.0,0.0
2015-06-15,29.9,33.8,26.3,72,60.0,0.0
2015-06-16,30.8,35.3,27.4,69,55.0,0.0
2015-06-17,31.2,35.4,27.7,67,48.0,0.0
2015-06-18,31.1,35.3,27.5,64,45.0,0.0
2015-06-19,30.6,35.6,27.6,71,53.0,0.0
2015-06-20,30.2,34.2,28.1,73,56.0,0.0
2015-06-21,29.6,34.5,26.7,75,55.0,0.0
2015-06-22,29.5,34.2,26.2,74,52.0,2.0
2015-06-23,28.2,34.5,25.1,82,51.0,49.0
2015-06-24,28.2,34.1,25.4,86,57.0,9.0
2015-06-25,30.4,34.7,26.1,74,54.0,0.5
2015-06-26,31.3,35.8,28.2,68,53.0,0.0
2015-06-27,31.6,35.7,28.9,67,52.0,0.0
2015-06-28,31.8,35.8,28.7,66,52.0,0.0
2015-06-29,31.5,35.4,28.5,66,54.0,0.0
2015-06-30,31.6,35.4,28.3,64,53.0,0.0
2015-07-01,31.7,35.2,28.5,63,52.0,0.0
2015-07-02,32.0,36.6,29.0,63,52.0,0.0
2015-07-03,30.8,33.2,27.9,70,54.0,0.0
2015-07-04,29.7,33.5,27.5,77,61.0,0.0
2015-07-05,31.7,36.9,27.6,67,49.0,0.0
2015-07-06,31.6,37.5,28.9,68,49.0,1.5
2015-07-07,31.6,36.6,27.6,68,52.0,0.0
2015-07-08,31.5,34.9,28.4,62,50.0,0.0
2015-07-09,29.6,34.8,26.6,77,59.0,15.5
2015-07-10,25.9,32.5,24.9,93,78.0,53.5
2015-07-11,30.1,32.3,27.1,69,60.0,0.0
2015-07-12,30.8,34.9,27.7,69,57.0,0.0
2015-07-13,30.8,34.9,27.8,70,51.0,0.0
2015-07-14,30.2,34.8,27.0,68,49.0,0.0
2015-07-15,30.1,34.0,26.9,67,52.0,0.0
2015-07-16,30.7,34.8,27.3,66,47.0,0.0
2015-07-17,30.5,34.6,27.6,72,57.0,0.0
2015-07-18,30.9,36.1,27.0,66,47.0,0.0
2015-07-19,29.0,33.7,25.3,77,56.0,14.0
2015-07-20,28.6,34.6,25.2,82,57.0,22.0
2015-07-21,31.1,37.6,26.5,65,36.0,0.0
2015-07-22,30.3,34.8,27.6,65,46.0,0.0
2015-07-23,28.7,35.2,25.9,77,47.0,3.5
2015-07-24,29.4,35.4,25.1,73,38.0,0.0
2015-07-25,30.1,35.7,26.5,70,43.0,0.0
2015-07-26,30.7,35.8,27.3,66,44.0,0.0
2015-07-27,29.8,35.7,27.1,68,48.0,0.0
2015-07-28,28.4,36.7,23.8,72,42.0,20.5
2015-07-29,28.8,34.8,23.9,71,49.0,0.5
2015-07-30,28.7,34.0,25.6,74,56.0,0.5
2015-07-31,29.5,34.8,25.4,67,46.0,0.0
2015-08-01,29.8,34.7,26.3,67,49.0,0.0
2015-08-02,30.2,35.3,26.8,63,42.0,0.0
2015-08-03,29.9,34.3,26.3,65,49.0,0.0
2015-08-04,30.0,34.8,26.9,67,48.0,0.0
2015-08-05,28.4,32.9,23.9,75,59.0,13.0
2015-08-06,29.6,36.1,24.4,72,47.0,18.5
2015-08-07,28.3,32.8,26.3,83,65.0,11.5
2015-08-08,26.9,30.2,23.6,85,64.0,147.5
2015-08-09,27.7,32.0,25.4,83,65.0,0.0
2015-08-10,29.4,35.0,25.6,76,56.0,0.0
2015-08-11,30.2,36.2,25.8,71,47.0,0.0
2015-08-12,29.7,34.6,26.6,77,53.0,8.5
2015-08-13,29.2,34.2,26.7,75,54.0,0.0
2015-08-14,29.6,34.6,26.4,71,50.0,0.0
2015-08-15,30.3,35.2,27.3,65,46.0,0.0
2015-08-16,29.2,32.9,25.3,66,51.0,7.5
2015-08-17,29.9,33.8,26.8,68,56.0,0.0
2015-08-18,29.0,33.4,26.7,76,57.0,0.5
2015-08-19,29.2,36.2,26.1,78,49.0,16.5
2015-08-20,30.7,35.9,26.9,66,47.0,0.0
2015-08-21,30.5,34.7,28.4,68,53.0,0.0
2015-08-22,29.8,34.2,27.0,72,54.0,0.5
2015-08-23,27.5,36.9,25.7,89,78.0,14.0
2015-08-24,29.1,33.4,26.5,80,58.0,3.0
2015-08-25,27.3,31.6,23.7,82,63.0,13.5
2015-08-26,27.4,31.8,24.2,81,60.0,11.5
2015-08-27,25.0,28.7,23.7,95,81.0,27.5
2015-08-28,25.8,29.4,24.4,91,74.0,3.0
2015-08-29,25.7,30.2,24.1,91,68.0,14.5
2015-08-30,25.5,27.5,24.4,93,73.0,6.0
2015-08-31,24.5,25.8,23.7,96,91.0,14.0
2015-09-01,26.5,32.1,23.7,88,60.0,30.5
2015-09-02,27.5,32.6,24.2,82,60.0,0.0
2015-09-03,28.5,32.8,25.0,78,60.0,0.0
2015-09-04,28.9,32.9,26.5,76,57.0,0.0
2015-09-05,29.4,33.8,26.3,70,53.0,0.0
2015-09-06,29.8,35.5,25.7,73,48.0,8.5
2015-09-07,25.6,27.5,23.5,87,73.0,22.0
2015-09-08,27.3,32.9,23.1,71,45.0,0.0
2015-09-09,27.3,32.7,24.4,63,43.0,0.0
2015-09-10,26.8,33.0,22.9,63,38.0,0.0
2015-09-11,26.8,32.1,23.1,65,44.0,0.0
2015-09-12,27.1,33.7,22.6,65,46.0,0.0
2015-09-13,26.9,33.1,24.0,66,47.0,0.0
2015-09-14,27.1,32.3,23.7,75,55.0,0.0
2015-09-15,28.4,33.2,25.3,74,55.0,0.0
2015-09-16,26.8,31.1,24.3,82,65.0,13.0
2015-09-17,26.8,31.4,24.2,70,52.0,0.0
2015-09-18,26.5,32.6,22.9,63,41.0,0.0
2015-09-19,26.4,32.9,22.5,62,43.0,0.0
2015-09-20,27.2,32.6,24.2,67,52.0,0.0
2015-09-21,27.5,30.9,24.7,74,59.0,0.0
2015-09-22,28.2,32.9,24.6,73,53.0,0.0
2015-09-23,28.7,30.7,27.9,73,62.0,0.0
2015-09-24,27.7,32.1,25.6,75,59.0,0.0
2015-09-25,28.0,33.1,24.9,67,51.0,0.0
2015-09-26,26.1,29.8,23.8,75,59.0,0.0
2015-09-27,23.9,25.8,23.1,89,77.0,7.5
2015-09-28,25.8,27.7,24.0,94,86.0,145.5
2015-09-29,27.6,29.5,26.0,85,73.0,1.5
2015-09-30,28.9,34.3,25.3,79,53.0,0.0
2015-10-01,29.2,33.0,26.2,77,58.0,0.0
2015-10-02,25.3,27.9,23.3,86,79.0,11.5
2015-10-03,28.8,34.7,24.7,73,54.0,0.0
2015-10-04,29.5,34.9,25.5,72,51.0,0.0
2015-10-05,29.5,36.1,26.1,69,47.0,0.0
2015-10-06,27.9,32.7,25.7,72,54.0,0.0
2015-10-07,27.2,32.9,24.7,67,50.0,0.0
2015-10-08,25.8,28.4,23.5,82,72.0,2.5
2015-10-09,22.8,24.2,21.6,92,76.0,56.0
2015-10-10,23.8,26.4,21.9,74,61.0,0.5
2015-10-11,21.0,22.6,19.3,82,67.0,7.0
2015-10-12,22.5,25.2,19.9,59,50.0,0.0
2015-10-13,23.0,26.9,20.7,59,45.0,0.0
2015-10-14,23.2,28.1,20.1,64,49.0,0.0
2015-10-15,23.8,29.3,19.8,67,48.0,0.0
2015-10-16,24.4,28.7,22.0,73,56.0,0.0
2015-10-17,24.2,27.8,21.8,70,50.0,0.0
2015-10-18,23.3,25.6,22.2,77,63.0,0.0
2015-10-19,25.1,28.5,22.6,75,62.0,0.0
2015-10-20,25.7,28.5,23.1,70,61.0,0.0
2015-10-21,23.8,26.9,21.9,82,71.0,1.0
2015-10-22,23.4,27.0,22.0,89,77.0,11.0
2015-10-23,24.5,28.4,21.9,90,75.0,3.5
2015-10-24,24.5,27.7,23.0,89,75.0,3.5
2015-10-25,24.7,27.9,23.1,77,63.0,0.0
2015-10-26,26.2,31.0,22.9,69,54.0,0.0
2015-10-27,26.0,31.2,23.9,76,51.0,0.0
2015-10-28,25.0,28.2,23.1,79,68.0,0.0
2015-10-29,25.6,30.6,23.4,80,59.0,0.0
2015-10-30,25.6,,,77,,0.0
2015-10-31,22.1,25.6,20.9,80,70.0,0.0
2015-11-01,22.3,24.8,21.1,79,68.0,0.5
2015-11-02,20.3,21.9,19.2,87,79.0,2.5
2015-11-03,22.1,,,85,,0.0
2015-11-04,26.4,29.5,22.4,74,62.0,0.0
2015-11-05,27.2,31.6,22.2,73,56.0,0.0
2015-11-06,28.0,,,73,,0.0
2015-11-07,27.8,,,76,,0.0
2015-11-08,28.0,,,70,,0.0
2015-11-09,26.7,,,74,,0.0
2015-11-10,21.5,21.7,20.1,73,67.0,0.0
2015-11-11,21.0,23.6,19.4,82,66.0,11.5
2015-11-12,23.6,26.9,20.7,82,71.0,0.0
2015-11-13,24.1,26.9,21.4,85,74.0,0.0
2015-11-14,23.6,26.8,21.8,82,74.0,0.0
2015-11-15,24.1,27.8,21.7,77,64.0,0.0
2015-11-16,26.1,31.8,22.9,74,45.0,0.0
2015-11-17,26.1,32.8,22.0,74,46.0,0.0
2015-11-18,26.6,31.1,24.0,77,57.0,0.0
2015-11-19,24.6,28.0,22.9,78,66.0,0.0
2015-11-20,24.4,28.2,22.0,80,67.0,0.0
2015-11-21,23.7,25.5,21.7,76,62.0,1.5
2015-11-22,25.2,28.8,23.2,73,60.0,0.0
2015-11-23,24.5,29.1,21.8,78,60.0,2.5
2015-11-24,22.2,24.7,21.2,78,68.0,0.5
2015-11-25,20.7,24.0,16.5,80,66.0,1.5
2015-11-26,16.0,,,58,,0.5
2015-11-27,15.6,,,59,,0.0
2015-11-28,19.9,,,71,,0.0
2015-11-29,20.4,26.6,17.9,79,50.0,0.0
2015-11-30,21.1,24.0,19.5,81,68.0,0.0
2015-12-01,22.1,26.0,20.1,78,62.0,0.0
2015-12-02,21.6,24.7,19.0,81,70.0,0.0
2015-12-03,17.5,20.5,15.7,72,56.0,1.5
2015-12-04,16.4,17.5,15.1,69,58.0,0.0
2015-12-05,21.2,27.8,15.8,75,54.0,1.0
2015-12-06,17.1,-99.7,16.3,93,88.0,13.5
2015-12-07,18.1,20.6,16.3,77,61.0,0.0
2015-12-08,19.1,20.9,17.8,81,76.0,0.0
2015-12-09,21.8,25.2,20.1,79,64.0,2.0
2015-12-10,19.6,-99.7,17.4,86,63.0,19.5
2015-12-11,18.5,20.6,17.0,80,67.0,0.0
2015-12-12,18.1,21.1,16.0,85,71.0,3.5
2015-12-13,21.4,26.7,18.0,82,64.0,0.0
2015-12-14,21.1,24.9,18.7,84,69.0,0.0
2015-12-15,17.0,19.0,15.2,83,74.0,0.0
2015-12-16,14.0,15.7,12.1,63,54.0,0.0
2015-12-17,11.7,14.1,10.5,57,45.0,0.0
2015-12-18,15.2,18.8,11.2,64,51.0,0.0
2015-12-19,18.2,21.5,15.5,78,67.0,0.0
2015-12-20,20.2,24.5,16.8,74,57.0,0.0
2015-12-21,20.7,23.4,18.8,84,70.0,0.0
2015-12-22,22.7,28.9,18.7,81,52.0,0.0
2015-12-23,22.6,28.2,18.8,79,54.0,0.0
2015-12-24,21.0,26.4,18.9,90,66.0,1.0
2015-12-25,16.5,-99.7,14.9,91,84.0,11.0
2015-12-26,17.0,19.5,14.7,83,71.0,0.5
2015-12-27,16.1,18.2,14.3,94,89.0,20.0
2015-12-28,15.2,17.4,13.9,81,66.0,1.0
2015-12-29,16.8,19.7,14.8,69,56.0,0.0
2015-12-30,15.9,17.0,14.7,87,81.0,1.5
2015-12-31,15.8,17.0,14.4,75,63.0,0.0
2016-01-01,18.7,22.8,15.4,78,66.0,0.0
2016-01-02,18.3,20.1,17.3,89,81.0,0.0
2016-01-03,18.6,20.2,17.6,96,90.0,16.5
2016-01-04,20.2,22.5,18.3,93,81.0,0.0
2016-01-05,20.0,22.6,18.8,93,87.0,1.0
2016-01-06,17.7,19.8,16.5,91,86.0,41.0
2016-01-07,17.7,20.6,16.3,79,65.0,0.0
2016-01-08,16.2,18.0,15.0,83,72.0,4.0
2016-01-09,16.8,20.4,14.0,76,62.0,0.0
2016-01-10,18.7,23.4,14.5,83,62.0,0.0
2016-01-11,16.6,19.4,15.5,95,85.0,37.5
2016-01-12,15.6,17.9,13.9,88,71.0,5.5
2016-01-13,13.3,26.2,12.1,93,85.0,7.0
2016-01-14,13.7,15.6,11.9,85,76.0,0.0
2016-01-15,14.9,16.4,13.3,91,85.0,2.5
2016-01-16,17.7,21.3,14.4,85,66.0,0.0
2016-01-17,16.3,18.4,12.6,96,92.0,45.5
2016-01-18,14.3,17.6,11.7,71,54.0,0.5
2016-01-19,13.1,14.9,12.5,85,67.0,3.5
2016-01-20,14.4,16.9,11.6,89,82.0,5.5
2016-01-21,15.5,17.0,13.9,96,92.0,15.5
2016-01-22,14.6,16.1,13.4,93,84.0,39.5
2016-01-23,9.6,13.7,6.3,91,81.0,33.5
2016-01-24,4.6,6.6,2.9,74,57.0,8.0
2016-01-25,7.4,10.2,4.4,63,54.0,0.0
2016-01-26,14.2,19.6,7.8,62,49.0,0.0
2016-01-27,17.9,23.6,13.9,74,51.0,0.0
2016-01-28,16.4,18.2,15.3,96,92.0,5.0
2016-01-29,16.7,17.3,16.1,97,94.0,33.5
2016-01-30,15.1,16.8,14.2,94,88.0,9.5
2016-01-31,17.5,20.8,14.6,80,63.0,0.0
2016-02-01,12.9,18.3,10.7,94,88.0,30.0
2016-02-02,11.3,12.3,10.4,95,92.0,15.5
2016-02-03,14.0,17.7,12.0,89,72.0,1.0
2016-02-04,15.9,18.8,14.2,91,78.0,6.0
2016-02-05,13.2,15.4,11.6,92,82.0,6.5
2016-02-06,10.5,12.0,8.0,61,46.0,0.0
2016-02-07,10.0,16.0,6.5,59,39.0,0.0
2016-02-08,12.1,20.3,5.0,51,18.0,0.0
2016-02-09,14.3,22.2,7.3,57,20.0,0.0
2016-02-10,17.4,25.1,10.5,61,32.0,0.0
2016-02-11,18.7,25.5,15.7,78,52.0,0.0
2016-02-12,20.8,27.2,16.7,80,59.0,0.0
2016-02-13,22.6,29.1,17.7,76,39.0,0.0
2016-02-14,15.5,20.7,9.5,91,84.0,17.5
2016-02-15,9.9,11.4,7.8,81,59.0,1.0
2016-02-16,11.5,12.3,10.7,72,61.0,0.0
2016-02-17,12.7,14.5,11.6,77,56.0,5.0
2016-02-18,15.7,20.1,12.5,90,74.0,7.0
2016-02-19,14.6,16.9,12.7,98,94.0,1.0
2016-02-20,13.2,15.2,11.7,76,57.0,1.0
2016-02-21,15.0,17.5,12.7,61,56.0,0.0
2016-02-22,15.9,21.6,13.3,78,54.0,0.0
2016-02-23,13.4,14.6,12.5,93,89.0,1.5
2016-02-24,12.6,13.4,12.0,90,80.0,4.5
2016-02-25,13.1,14.3,11.8,83,77.0,1.0
2016-02-26,13.6,15.2,12.4,92,83.0,3.5
2016-02-27,14.6,15.5,14.0,96,91.0,16.5
2016-02-28,18.3,25.0,14.3,72,49.0,0.0
2016-02-29,15.7,,,63,,0.0
2016-03-01,15.0,19.9,12.2,53,40.0,0.0
2016-03-02,18.0,25.4,13.4,55,34.0,0.0
2016-03-03,18.4,25.1,13.0,62,38.0,0.0
2016-03-04,20.0,25.5,14.7,65,41.0,0.0
2016-03-05,20.9,27.3,16.8,77,54.0,0.0
2016-03-06,20.6,24.9,17.6,83,57.0,0.0
2016-03-07,20.8,24.8,18.1,84,68.0,0.0
2016-03-08,21.8,27.6,19.1,86,56.0,1.5
2016-03-09,16.6,22.3,12.8,92,85.0,22.0
2016-03-10,11.4,13.2,10.1,95,91.0,51.5
2016-03-11,11.4,12.9,10.0,94,87.0,15.5
2016-03-12,14.1,16.2,11.6,95,89.0,4.5
2016-03-13,16.0,18.6,14.2,97,91.0,37.0
2016-03-14,13.3,14.5,12.4,81,68.0,11.5
2016-03-15,13.2,14.4,12.1,92,73.0,12.0
2016-03-16,15.1,16.2,13.9,98,95.0,5.5
2016-03-17,18.1,21.3,15.8,95,87.0,1.0
2016-03-18,19.6,22.8,16.6,97,86.0,23.5
2016-03-19,19.0,20.8,18.3,96,86.0,11.5
2016-03-20,18.2,21.2,16.2,82,70.0,1.5
2016-03-21,17.3,19.5,15.4,86,69.0,5.0
2016-03-22,18.6,23.9,16.8,92,67.0,0.5
2016-03-23,16.5,18.2,12.4,94,92.0,40.5
2016-03-24,11.8,12.9,10.5,90,84.0,12.0
2016-03-25,10.6,11.5,9.9,95,92.0,24.5
2016-03-26,13.4,19.7,8.6,65,39.0,0.0
2016-03-27,13.3,17.0,10.7,68,55.0,0.0
2016-03-28,15.7,22.9,8.6,54,28.0,0.0
2016-03-29,18.1,24.4,11.2,56,39.0,0.0
2016-03-30,19.5,24.7,16.2,66,47.0,0.0
2016-03-31,19.4,20.9,17.3,80,69.0,0.0
2016-04-01,21.2,26.9,18.1,72,55.0,0.0
2016-04-02,23.1,29.4,18.8,74,50.0,0.0
2016-04-03,24.3,28.9,21.0,78,59.0,0.0
2016-04-04,23.4,28.1,21.2,81,57.0,0.0
2016-04-05,23.2,27.7,20.8,78,60.0,0.0
2016-04-06,24.6,31.3,20.4,76,51.0,0.0
2016-04-07,26.3,31.8,22.6,77,52.0,0.0
2016-04-08,23.7,28.7,21.7,81,64.0,0.0
2016-04-09,23.0,26.6,20.5,80,66.0,0.0
2016-04-10,22.1,28.0,19.6,87,62.0,10.5
2016-04-11,20.1,21.5,18.7,89,79.0,9.5
2016-04-12,22.2,26.3,19.8,86,66.0,4.5
2016-04-13,21.3,25.5,19.8,91,68.0,65.0
2016-04-14,20.8,21.0,19.6,91,86.0,20.5
2016-04-15,21.1,24.9,17.8,86,71.0,4.0
2016-04-16,25.0,30.2,21.0,78,57.0,0.0
2016-04-17,22.7,27.9,19.9,83,58.0,2.0
2016-04-18,18.5,22.5,16.3,90,79.0,12.5
2016-04-19,22.0,27.5,17.1,70,56.0,0.0
2016-04-20,24.3,30.5,20.1,75,54.0,0.0
2016-04-21,26.9,32.9,22.5,77,55.0,0.0
2016-04-22,26.7,30.3,24.1,76,61.0,0.0
2016-04-23,26.3,31.1,22.7,77,55.0,0.0
2016-04-24,25.2,29.5,23.3,82,59.0,3.0
2016-04-25,25.0,28.3,22.9,82,66.0,1.5
2016-04-26,26.4,30.8,22.6,77,57.0,0.0
2016-04-27,26.2,32.0,22.8,78,45.0,26.5
2016-04-28,21.8,25.7,19.3,80,60.0,8.0
2016-04-29,22.3,28.0,19.2,55,40.0,0.0
2016-04-30,22.8,28.0,20.1,70,53.0,0.5
2016-05-01,22.7,26.1,20.1,85,65.0,3.5
2016-05-02,27.1,32.4,21.1,71,50.0,0.0
2016-05-03,27.3,32.0,24.2,72,56.0,4.5
2016-05-04,27.1,32.1,23.9,72,54.0,0.0
2016-05-05,26.9,31.8,24.4,79,62.0,6.0
2016-05-06,28.7,34.7,23.7,71,50.0,0.0
2016-05-07,29.1,32.9,26.2,71,54.0,0.0
2016-05-08,28.1,32.1,25.5,74,60.0,0.0
2016-05-09,28.6,33.4,25.7,70,53.0,0.0
2016-05-10,27.3,31.5,23.3,75,56.0,7.0
2016-05-11,21.6,24.5,19.6,76,58.0,29.5
2016-05-12,26.1,30.7,21.4,71,56.0,0.0
2016-05-13,28.0,33.7,23.4,70,46.0,0.0
2016-05-14,29.1,34.3,25.5,65,48.0,0.0
2016-05-15,28.6,33.1,26.3,69,54.0,0.0
2016-05-16,21.3,27.1,18.1,85,64.0,159.5
2016-05-17,20.3,22.2,18.2,71,63.0,0.0
2016-05-18,23.2,26.6,20.6,81,67.0,0.0
2016-05-19,24.8,29.2,21.5,75,58.0,0.0
2016-05-20,25.3,30.1,22.1,74,54.0,0.0
2016-05-21,25.3,28.5,23.9,84,67.0,1.0
2016-05-22,25.8,29.4,24.1,85,63.0,4.5
2016-05-23,26.1,32.6,24.2,87,58.0,9.5
2016-05-24,25.6,29.5,24.1,85,69.0,1.0
2016-05-25,26.4,30.2,24.2,80,64.0,0.0
2016-05-26,27.9,32.6,24.1,76,58.0,0.0
2016-05-27,28.2,33.3,25.5,80,58.0,10.0
2016-05-28,29.9,35.4,25.6,72,52.0,0.0
2016-05-29,31.0,35.0,27.9,64,48.0,0.0
2016-05-30,30.3,33.9,28.1,72,59.0,0.0
2016-05-31,31.3,35.8,28.1,65,50.0,0.0
2016-06-01,31.8,38.1,27.8,60,38.0,0.0
2016-06-02,27.2,30.4,24.5,85,61.0,72.0
2016-06-03,29.4,34.0,25.1,80,61.0,16.5
2016-06-04,31.2,36.1,27.7,69,51.0,0.0
2016-06-05,28.7,33.4,25.6,76,60.0,0.5
2016-06-06,26.4,29.2,24.5,84,69.0,10.5
2016-06-07,28.1,33.8,24.8,77,58.0,2.5
2016-06-08,29.2,34.7,25.0,69,51.0,0.0
2016-06-09,28.8,33.2,26.7,71,59.0,0.0
2016-06-10,27.3,32.6,25.0,80,55.0,12.0
2016-06-11,26.8,30.7,25.0,81,66.0,2.0
2016-06-12,28.5,32.8,25.6,72,53.0,0.5
2016-06-13,28.6,33.2,24.0,69,52.0,39.5
2016-06-14,25.2,,,92,,71.0
2016-06-15,29.4,,,75,,0.5
2016-06-16,31.0,35.2,27.0,66,53.0,0.0
2016-06-17,29.6,34.8,24.6,74,50.0,16.0
2016-06-18,28.9,34.3,25.2,73,53.0,0.0
2016-06-19,29.6,35.5,25.4,68,49.0,0.0
2016-06-20,29.9,35.0,26.9,68,52.0,0.0
2016-06-21,30.4,35.0,26.5,64,50.0,0.0
2016-06-22,31.4,36.0,26.8,65,51.0,0.0
2016-06-23,30.9,35.9,27.9,70,50.0,0.0
2016-06-24,30.6,35.8,27.1,66,50.0,0.0
2016-06-25,30.7,35.0,27.1,66,53.0,0.0
2016-06-26,30.9,34.9,27.9,68,55.0,0.0
2016-06-27,31.2,36.3,27.5,66,47.0,0.5
2016-06-28,28.7,35.1,24.4,77,51.0,84.0
2016-06-29,28.8,35.2,24.0,78,54.0,12.5
2016-06-30,28.9,34.0,24.0,74,53.0,0.0
2016-07-01,30.0,34.9,26.4,70,48.0,0.0
2016-07-02,28.4,34.7,24.5,78,57.0,16.0
2016-07-03,28.3,35.3,24.1,77,48.0,8.0
2016-07-04,29.5,36.0,25.1,73,50.0,0.5
2016-07-05,31.3,36.7,26.7,64,46.0,0.0
2016-07-06,32.0,37.4,29.4,58,42.0,0.0
2016-07-07,29.5,34.4,26.6,74,53.0,5.0
2016-07-08,28.0,29.8,26.8,80,67.0,4.5
2016-07-09,29.2,34.4,26.6,76,58.0,10.0
2016-07-10,27.7,35.2,25.2,86,53.0,50.5
2016-07-11,27.4,32.5,25.5,86,60.0,9.0
2016-07-12,29.1,35.3,25.4,75,51.0,0.0
2016-07-13,30.6,35.8,26.3,66,45.0,0.0
2016-07-14,30.9,35.3,27.2,66,50.0,0.0
2016-07-15,31.4,35.9,27.6,61,47.0,0.0
2016-07-16,32.0,36.3,28.2,60,46.0,0.0
2016-07-17,31.1,36.9,28.7,65,46.0,0.0
2016-07-18,29.8,34.9,27.0,66,46.0,0.0
2016-07-19,28.4,34.8,25.9,71,52.0,2.0
2016-07-20,29.4,34.8,26.1,70,50.0,0.5
2016-07-21,30.4,34.9,26.2,68,52.0,0.0
2016-07-22,31.5,36.8,27.8,63,43.0,0.0
2016-07-23,31.7,37.5,28.1,61,43.0,0.0
2016-07-24,31.2,35.1,28.5,64,47.0,0.0
2016-07-25,30.7,35.5,27.2,63,46.0,0.0
2016-07-26,31.1,35.8,28.2,64,39.0,0.0
2016-07-27,31.5,37.3,26.9,60,40.0,0.0
2016-07-28,32.4,38.3,27.5,59,34.0,0.0
2016-07-29,32.2,39.0,28.5,62,33.0,0.0
2016-07-30,31.8,37.8,27.8,58,41.0,0.0
2016-07-31,31.7,36.4,28.2,61,45.0,0.0
2016-08-01,31.3,36.4,27.4,61,42.0,0.5
2016-08-02,29.5,35.4,26.8,73,52.0,2.5
2016-08-03,30.3,34.5,26.3,68,53.0,0.0
2016-08-04,31.4,36.3,27.9,60,45.0,0.0
2016-08-05,30.8,35.3,28.2,65,48.0,0.0
2016-08-06,30.6,36.1,27.8,69,48.0,2.0
2016-08-07,30.3,36.0,27.0,67,47.0,0.0
2016-08-08,30.3,34.6,27.0,68,50.0,0.0
2016-08-09,30.2,34.5,28.4,72,52.0,2.5
2016-08-10,30.9,37.2,27.1,69,42.0,2.5
2016-08-11,27.6,29.9,25.1,87,76.0,61.5
2016-08-12,29.8,35.9,27.1,73,50.0,0.0
2016-08-13,28.1,31.5,25.8,79,63.0,7.0
2016-08-14,31.0,36.5,26.5,62,43.0,0.0
2016-08-15,30.4,35.8,27.0,66,48.0,0.0
2016-08-16,29.1,33.0,26.5,75,60.0,0.0
2016-08-17,29.1,33.9,26.3,73,53.0,0.5
2016-08-18,29.5,33.8,26.2,71,57.0,0.0
2016-08-19,29.7,34.3,27.1,70,53.0,0.5
2016-08-20,30.2,35.2,26.1,69,49.0,0.0
2016-08-21,30.7,34.8,27.6,67,52.0,0.0
2016-08-22,31.2,,,60,,0.0
